SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,3715 N Panama Ave,Chicago,IL,60634,294900,2,1.5,CHI - Dunning,896,,1949,1,329,,Active,,,https://www.redfin.com/IL/Chicago/3715-N-Panama-Ave-60634/home/13544792,MRED as Distributed by MLS Grid,11966995,N,Y,41.9472772,-87.8289435
MLS Listing,,Condo/Co-op,240 E Illinois St #2603,Chicago,IL,60611,424000,1,1.0,CHI - Near North Side,,,2008,1,,745,Active,January-27-2024 11:00 AM,January-27-2024 01:00 PM,https://www.redfin.com/IL/Chicago/240-E-Illinois-St-60611/unit-2603/home/13150347,MRED as Distributed by MLS Grid,11944969,N,Y,41.8911546,-87.6210377
MLS Listing,,Condo/Co-op,6431 N Damen Ave Unit 1E,Chicago,IL,60645,325000,3,2.0,Edgemoor Park Condos,1100,,1960,1,295,334,Active,,,https://www.redfin.com/IL/Chicago/6431-N-Damen-Ave-60645/unit-1E/home/18943903,MRED as Distributed by MLS Grid,11962486,N,Y,41.998989,-87.6796047
MLS Listing,,Single Family Residential,9218 S Colfax Ave,Chicago,IL,60617,180000,3,2.0,CHI - Calumet Heights,1300,4399,1961,1,138,,Active,,,https://www.redfin.com/IL/Chicago/9218-S-Colfax-Ave-60617/home/13042824,MRED as Distributed by MLS Grid,11959892,N,Y,41.7274937,-87.5611556
MLS Listing,,Vacant Land,2434 N Saint Louis Ave,Chicago,IL,60647,415000,,,CHI - Logan Square,,3049,,1,,,Active,,,https://www.redfin.com/IL/Chicago/2434-N-Saint-Louis-Ave-60647/home/13444893,MRED as Distributed by MLS Grid,11966147,N,Y,41.9256343,-87.7149278
MLS Listing,,Multi-Family (2-4 Unit),531 N Central Park Ave,Chicago,IL,60624,315000,5,2.0,CHI - Humboldt Park,,3049,1890,5,,,Active,,,https://www.redfin.com/IL/Chicago/531-N-Central-Park-Ave-60624/home/13261938,MRED as Distributed by MLS Grid,11964158,N,Y,41.8911599,-87.7158842
MLS Listing,,Townhouse,1910 N Burling St Unit B,Chicago,IL,60614,1575000,3,3.5,CHI - Lincoln Park,2716,,1988,6,580,,Active,,,https://www.redfin.com/IL/Chicago/1910-N-Burling-St-60614/unit-B/home/13346993,MRED as Distributed by MLS Grid,11959351,N,Y,41.9163475,-87.6476115
MLS Listing,,Condo/Co-op,450 W Armitage Ave #1,Chicago,IL,60614,450000,2,2.0,CHI - Lincoln Park,,,1888,6,,300,Active,,,https://www.redfin.com/IL/Chicago/450-W-Armitage-Ave-60614/unit-1/home/12651635,MRED as Distributed by MLS Grid,11953233,N,Y,41.9184138,-87.640858
MLS Listing,,Condo/Co-op,1535 W Montana St #2,Chicago,IL,60614,675000,2,2.0,CHI - Lincoln Park,,,2017,6,,228,Active,,,https://www.redfin.com/IL/Chicago/1535-W-Montana-St-60614/unit-2/home/189454747,MRED as Distributed by MLS Grid,11963120,N,Y,41.9259281,-87.6671963
MLS Listing,,Condo/Co-op,2800 N Lake Shore Dr #3411,Chicago,IL,60657,290000,1,1.0,CHI - Lake View,,,1969,6,,494,Active,,,https://www.redfin.com/IL/Chicago/2800-N-Lake-Shore-Dr-60657/unit-3411/home/13369930,MRED as Distributed by MLS Grid,11963012,N,Y,41.9333146,-87.6372232
